,INCIDENT_DATE,AIRPORT_ID,AIRPORT,ATYPE,TYPE_ENG,SPECIES,DAMAGE,NUM_ENGS,TIME_OF_DAY,ENROUTE,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED
0,2018-04-30,KOAK,METRO OAKLAND INTL,B-737-700,Turbofan,Cliff swallow,None,2.0,Day,,,0.0,,0.0,Landing Roll,Overcast,None,,2 to 10,Small,Y
1,2018-04-29,KLAX,LOS ANGELES INTL,B-757-300,Turbofan,Unknown bird,,2.0,Day,,,0.0,100.0,0.0,Take-off run,No Cloud,None,1,1,,
2,2018-04-29,KSFO,SAN FRANCISCO INTL ARPT,A-320,Turbofan,Western sandpiper,None,2.0,Day,,,0.0,100.0,0.0,Landing Roll,Some Cloud,None,,2 to 10,Small,N
3,2018-04-28,KLGB,LONG BEACH-DAUGH FLD,UNKNOWN,,Red-tailed hawk,,,,,,,,0.0,,,,,1,Medium,
4,2018-04-28,KLAX,LOS ANGELES INTL,B-737-800,Turbofan,Wilson's warbler,None,2.0,,,,,,,Approach,,,,1,Small,
5,2018-04-27,KSFO,SAN FRANCISCO INTL ARPT,A-321,Turbofan,Western sandpiper,None,2.0,Day,,,20.0,120.0,0.0,Climb,Some Cloud,None,,2 to 10,Small,N
6,2018-04-27,KOAK,METRO OAKLAND INTL,UNKNOWN,,Ring-billed gull,,,,,,,,0.0,,,,,1,Medium,
7,2018-04-27,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,White-tailed kite,,,,,,,,0.0,,,,,1,Medium,
8,2018-04-26,KSBP,SAN LUIS COUNTY REGIONAL ARPT,C-172,Reciprocating,White-throated swift,None,1.0,,,1.5 miles on approach,,,1.5,Approach,No Cloud,None,,1,Small,
9,2018-04-26,KLAX,LOS ANGELES INTL,A-321,Turbofan,Warbling vireo,None,2.0,Day,,Found at KLAX,,,,,,,,1,Small,
10,2018-04-26,KSCK,STOCKTON METRO,UNKNOWN,,Swainson's hawk,,,,,,,,0.0,,,,,1,Medium,
11,2018-04-26,KHHR,JACK NORTHROP FIELD/HAWTHORNE MUNI ARPT,PA-12,Reciprocating,Mourning dove,None,1.0,Day,,,0.0,5.0,0.0,Taxi,No Cloud,None,1,1,Small,
12,2018-04-26,KONT,ONTARIO INTL ARPT,A-321,Turbofan,Unknown bird,,2.0,Dawn,,,400.0,,,Climb,Some Cloud,None,,1,,N
13,2018-04-26,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Barn swallow,None,2.0,Day,,,,,,Approach,No Cloud,None,,1,Small,Y
14,2018-04-25,KSFO,SAN FRANCISCO INTL ARPT,A-330,Turbofan,Western sandpiper,None,2.0,Night,,,4000.0,,,Approach,Some Cloud,None,,2 to 10,Small,
15,2018-04-25,KSFO,SAN FRANCISCO INTL ARPT,A-320,Turbofan,Unknown bird or bat,None,2.0,Night,,,10000.0,,,Descent,,,,1,,
16,2018-04-24,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,UNKNOWN,,Red-tailed hawk,,,,,,,,0.0,,,,,1,Medium,
17,2018-04-24,KSBA,SANTA BARBARA MUNICIPAL,CRJ100/200,Turbofan,Cliff swallow,None,2.0,Day,,,50.0,120.0,0.0,Climb,Overcast,Fog,,2 to 10,Small,Y
18,2018-04-24,KLAX,LOS ANGELES INTL,B-777-200,Turbofan,Western tanager,None,2.0,Day,,,,,,Approach,Some Cloud,None,1,1,Small,Y
19,2018-04-24,KSTS,CHARLES M. SCHULZ-SONOMA COUNTY ARPT,DHC8 DASH 8,Turboprop,Turkey vulture,None,2.0,,,,0.0,,0.0,Landing Roll,No Cloud,None,1,1,Large,
20,2018-04-24,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Western sandpiper,None,2.0,Dusk,,,,,,Arrival,No Cloud,None,,1,Small,Y
21,2018-04-23,KSBA,SANTA BARBARA MUNICIPAL,CRJ100/200,Turbofan,Barn swallow,None,2.0,Day,,,200.0,,,Climb,Some Cloud,Fog,1,1,Small,
22,2018-04-23,KLAX,LOS ANGELES INTL,UNKNOWN,,California gull,,,Day,,,,,0.0,,,,,1,Medium,
23,2018-04-23,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Perching birds (y),None,2.0,Day,,,250.0,140.0,1.0,Approach,Some Cloud,None,1,1,Small,Y
24,2018-04-22,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-800,Turbofan,Unknown bird - small,None,2.0,Day,,,1500.0,,,Approach,No Cloud,None,1,1,Small,Y
25,2018-04-22,KOAK,METRO OAKLAND INTL,UNKNOWN,,Red-winged blackbird,,,,,,,,0.0,,,,,1,Small,
26,2018-04-22,KSFO,SAN FRANCISCO INTL ARPT,B-757-200,Turbofan,Canada goose,None,2.0,Day,,,0.0,140.0,0.0,Landing Roll,No Cloud,None,1,1,Large,N
27,2018-04-21,KSAN,SAN DIEGO INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,8500.0,250.0,,Descent,No Cloud,None,,1,Small,N
28,2018-04-21,KOAK,METRO OAKLAND INTL,UNKNOWN,,Mourning dove,,,,,,,,0.0,,,,,1,Small,
29,2018-04-20,KLAX,LOS ANGELES INTL,UNKNOWN,,Great blue heron,,,,,,,,0.0,,,,,1,Large,
30,2018-04-20,KTRM,JACQUELINE COCHRAN REGIONAL ARPT,CITATIONJET,Turbofan,Coyote,Minor,2.0,,,,0.0,100.0,0.0,Landing Roll,No Cloud,None,2 to 10,1,Large,N
31,2018-04-20,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-900,Turbofan,Yellow-rumped warbler,None,2.0,Night,,,,,,Approach,No Cloud,None,,1,Small,Y
32,2018-04-20,KCNO,CHINO AIRPORT,MOONEY M20,,Unknown bird - small,None,1.0,Day,,,20.0,80.0,0.0,Approach,No Cloud,None,,1,Small,
33,2018-04-19,KCNO,CHINO AIRPORT,C-172,Reciprocating,Swallows,None,1.0,Day,,,20.0,60.0,0.0,Local,Some Cloud,None,2 to 10,2 to 10,Small,Y
34,2018-04-19,KSMF,SACRAMENTO INTL,A-321,Turbofan,Swainson's hawk,None,2.0,Dawn,,,0.0,,0.0,Take-off run,No Cloud,None,,1,Medium,Y
35,2018-04-18,KOAK,METRO OAKLAND INTL,MD-11,Turbofan,Unknown bird - small,None,3.0,Night,,,2100.0,140.0,6.5,Approach,No Cloud,None,1,1,Small,Y
36,2018-04-18,KSMF,SACRAMENTO INTL,A-320,Turbofan,Savannah sparrow,None,2.0,Night,,,300.0,,1.0,Approach,No Cloud,None,1,1,Small,Y
37,2018-04-18,KBUR,BOB HOPE ARPT,PA-30 TWIN COMANCHE,Reciprocating,Cliff swallow,None,2.0,Day,,,0.0,,0.0,Take-off run,No Cloud,None,2 to 10,1,Small,N
38,2018-04-17,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,B-737-800,Turbofan,Unknown bird - small,None,2.0,Day,,,20.0,140.0,0.0,Approach,Some Cloud,None,1,1,Small,N
39,2018-04-17,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-800,Turbofan,Barn swallow,None,2.0,Day,,,,,,Approach,No Cloud,None,1,1,Small,Y
40,2018-04-17,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-787-9,Turbofan,Unknown bird or bat,None,2.0,,,,0.0,,0.0,Take-off run,No Cloud,None,,1,,
41,2018-04-16,KMYF,MONTGOMERY FIELD ARPT,PA-28,Reciprocating,Hawks,None,1.0,Day,,,200.0,80.0,,Approach,Some Cloud,None,1,1,Medium,N
42,2018-04-15,KOAK,METRO OAKLAND INTL,A-320,Turbofan,Western sandpiper,None,2.0,Day,,,0.0,,0.0,Landing Roll,Some Cloud,None,11 to 100,2 to 10,Small,Y
43,2018-04-15,KLAX,LOS ANGELES INTL,B-737-900,Turbofan,Western sandpiper,None,2.0,Day,,,,,,Approach,No Cloud,None,2 to 10,2 to 10,Small,Y
44,2018-04-15,KLAX,LOS ANGELES INTL,UNKNOWN,,Western gull,,,,,,,,0.0,,,,,1,Medium,
45,2018-04-15,KSCK,STOCKTON METRO,CITATION X,Turbofan,Swainson's hawk,None,2.0,,,,0.0,,0.0,Landing Roll,No Cloud,None,,1,Medium,Y
46,2018-04-14,KSFO,SAN FRANCISCO INTL ARPT,B-737-800,Turbofan,Unknown bird - medium,None,2.0,Night,,,3200.0,210.0,10.0,Approach,No Cloud,None,1,1,Medium,N
47,2018-04-14,KSAN,SAN DIEGO INTL,B-757-200,Turbofan,Unknown bird - small,,2.0,Night,,,1000.0,125.0,1.0,Approach,No Cloud,None,2 to 10,1,Small,N
48,2018-04-14,KSTS,CHARLES M. SCHULZ-SONOMA COUNTY ARPT,UNKNOWN,,Western meadowlark,,,,,,,,0.0,,,,,1,Small,
49,2018-04-13,KSTS,CHARLES M. SCHULZ-SONOMA COUNTY ARPT,DHC8 DASH 8,Turboprop,Unknown bird - small,None,2.0,Day,,,150.0,,,Approach,No Cloud,None,,1,Small,N
50,2018-04-13,KOAK,METRO OAKLAND INTL,UNKNOWN,,Gulls,,,,,,,,0.0,,,,,1,Medium,
51,2018-04-13,KSMF,SACRAMENTO INTL,B-737-900,Turbofan,Brazilian free-tailed bat,,2.0,Night,,,,,3.0,Approach,No Cloud,None,1,1,Small,Y
52,2018-04-13,KTVL,LAKE TAHOE ARPT,UNKNOWN,,Common merganser,,,,,,,,0.0,,,,,1,Large,
53,2018-04-13,KLAX,LOS ANGELES INTL,A-319,Turbofan,American crow,None,2.0,Day,,,125.0,110.0,,Approach,No Cloud,None,1,1,Medium,
54,2018-04-13,KLAX,LOS ANGELES INTL,UNKNOWN,,Rock pigeon,,,,,,,,0.0,,,,,1,Small,
55,2018-04-12,KLGB,LONG BEACH-DAUGH FLD,UNKNOWN,,Brant,,,,,,,,0.0,,,,,1,Medium,
56,2018-04-12,KOAK,METRO OAKLAND INTL,UNKNOWN,,Dunlin,,,,,,,,0.0,,,,,1,Small,
57,2018-04-12,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Canada goose,,,,,,,,0.0,,,,,1,Large,
58,2018-04-12,KFAT,FRESNO YOSEMITE INTL,CRJ700,Turbofan,Cliff swallow,None,2.0,Dawn,,,10.0,75.0,0.0,Approach,Some Cloud,None,11 to 100,1,Small,
59,2018-04-12,KSMF,SACRAMENTO INTL,B-737-800,Turbofan,Unknown bird - large,Uncertain,2.0,Night,,,3000.0,175.0,7.0,Approach,No Cloud,None,1,1,Large,N
60,2018-04-11,KFAT,FRESNO YOSEMITE INTL,UNKNOWN,,Cliff swallow,,,,,,,,0.0,,,,,1,Small,
61,2018-04-11,KOAK,METRO OAKLAND INTL,UNKNOWN,,Ducks,,,,,,,,0.0,,,,,1,Medium,Y
62,2018-04-09,KSMF,SACRAMENTO INTL,UNKNOWN,,Western meadowlark,,,,,,,,0.0,,,,,1,Small,
63,2018-04-09,KBUR,BOB HOPE ARPT,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,300.0,130.0,1.0,Approach,No Cloud,None,,1,Small,N
64,2018-04-08,KOAK,METRO OAKLAND INTL,UNKNOWN,,Common tern,,,,,,,,0.0,,,,,1,Small,Y
65,2018-04-07,KSFO,SAN FRANCISCO INTL ARPT,A-330,Turbofan,Red-tailed hawk,None,2.0,Day,,,0.0,,0.0,Take-off run,Some Cloud,None,1,1,Medium,N
66,2018-04-06,KONT,ONTARIO INTL ARPT,UNKNOWN,,Western sandpiper,,,,,,,,0.0,,,,,1,Small,
67,2018-04-06,KAPC,NAPA COUNTY ARPT,UNKNOWN,,Western gull,,,,,,,,0.0,,,,,1,Medium,
68,2018-04-05,KSFO,SAN FRANCISCO INTL ARPT,A-380,Turbofan,Red-tailed hawk,,4.0,Day,,,0.0,100.0,0.0,Take-off run,Overcast,None,1,1,Medium,N
69,2018-04-05,KOAK,METRO OAKLAND INTL,UNKNOWN,,Dunlin,,,,,,,,0.0,,,,,1,Small,
70,2018-04-05,KONT,ONTARIO INTL ARPT,B-737-700,Turbofan,Unknown bird - large,None,2.0,Night,,,3100.0,200.0,3.0,Approach,No Cloud,None,,1,Large,N
71,2018-04-04,KSAN,SAN DIEGO INTL,A-321,Turbofan,Unknown bird - small,None,2.0,Night,,,300.0,135.0,,Approach,No Cloud,None,,1,Small,N
72,2018-04-04,KSMF,SACRAMENTO INTL,UNKNOWN,,House finch,None,,,,,,,0.0,,,,,1,Small,
73,2018-04-03,KLAX,LOS ANGELES INTL,B-737-700,Turbofan,Hermit thrush,None,2.0,Night,,,0.0,,0.0,Landing Roll,Some Cloud,None,1,1,Small,Y
74,2018-04-03,KSMF,SACRAMENTO INTL,A-320,Turbofan,Varied thrush,None,2.0,Night,,,,,30.0,Approach,No Cloud,None,,1,Small,Y
75,2018-04-03,KBUR,BOB HOPE ARPT,B-737-700,Turbofan,Unknown bird - small,None,2.0,,,,0.0,140.0,0.0,Landing Roll,Some Cloud,None,1,1,Small,Y
76,2018-04-03,KBUR,BOB HOPE ARPT,B-737-700,Turbofan,American kestrel,None,2.0,,,,0.0,,0.0,Landing Roll,Overcast,None,1,1,Small,Y
77,2018-04-03,KLGB,LONG BEACH-DAUGH FLD,UNKNOWN,,Western sandpiper,,,,,,,,0.0,,,,,1,Small,
78,2018-04-02,KAPC,NAPA COUNTY ARPT,C-680,Turbofan,Mallard,None,2.0,Day,,,0.0,,0.0,Landing Roll,No Cloud,None,1,1,Medium,Y
79,2018-04-01,KLAX,LOS ANGELES INTL,B-737-700,Turbofan,Hoary bat,None,2.0,Night,,,700.0,140.0,,Approach,No Cloud,None,1,1,Small,
80,2018-04-01,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Short-eared owl,,,,,,,,0.0,,,,,1,Small,N
81,2018-03-31,KSMF,SACRAMENTO INTL,B-737-800,Turbofan,Unknown bird - small,,2.0,,,,1500.0,200.0,,Climb,Some Cloud,None,,1,Small,N
82,2018-03-31,KSFO,SAN FRANCISCO INTL ARPT,A-330,Turbofan,Unknown bird - small,None,2.0,Night,,,2200.0,170.0,,Approach,Some Cloud,None,1,1,Small,
83,2018-03-31,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-767-300,Turbofan,Red-tailed hawk,Uncertain,2.0,Day,,,0.0,100.0,0.0,Take-off run,Some Cloud,None,1,1,Medium,Y
84,2018-03-29,KSFO,SAN FRANCISCO INTL ARPT,A-319,Turbofan,Fox sparrow,None,2.0,Night,,,,,,Approach,,,,1,Small,
85,2018-03-29,KFAT,FRESNO YOSEMITE INTL,UNKNOWN,,Rock pigeon,,,,,,,,0.0,,,,,1,Small,
86,2018-03-29,KSAN,SAN DIEGO INTL,B-737-800,Turbofan,Unknown bird - small,None,2.0,Night,,,0.0,,0.0,Take-off run,No Cloud,None,,1,Small,N
87,2018-03-28,KOAK,METRO OAKLAND INTL,MD-11,Turbofan,Ducks,None,3.0,Night,,,0.0,140.0,0.0,Landing Roll,No Cloud,None,2 to 10,1,Medium,Y
88,2018-03-28,KOAK,METRO OAKLAND INTL,MD-11,Turbofan,Unknown bird - medium,None,3.0,Night,,,1000.0,160.0,,Climb,No Cloud,None,1,1,Medium,N
89,2018-03-27,KSMF,SACRAMENTO INTL,UNKNOWN,,Swainson's hawk,,,,,,,,0.0,,,,,1,Medium,
90,2018-03-27,KMYF,MONTGOMERY FIELD ARPT,UNKNOWN,,Gulls,Uncertain,,Day,,,150.0,90.0,0.0,Climb,No Cloud,None,,1,Medium,N
91,2018-03-27,KBFL,MEADOWS FIELD ARPT,CITATIONJET,Turbofan,Unknown bird - medium,Minor,2.0,Night,,,3000.0,180.0,13.0,,No Cloud,None,2 to 10,1,Medium,N
92,2018-03-27,KSLI,LOS ALAMITOS ARMY AIRFIELD,UNKNOWN,,Great blue heron,,,,,,,,0.0,,,,,1,Large,
93,2018-03-26,KOAK,METRO OAKLAND INTL,UNKNOWN,,Mourning dove,,,,,,,,0.0,,,,,1,Small,
94,2018-03-25,KLAX,LOS ANGELES INTL,B-737-700,Turbofan,Northern harrier,None,2.0,Dusk,,,,,,Approach,No Cloud,None,1,1,Medium,
95,2018-03-25,KVNY,VAN NUYS ARPT,CITATION EXL,Turbofan,Cliff swallow,None,2.0,Day,,,0.0,,0.0,Landing Roll,Some Cloud,None,2 to 10,1,Small,N
96,2018-03-25,KSCK,STOCKTON METRO,UNKNOWN,,"Lagomorphs (rabbits, hares)",,,,,,,,0.0,,,,,1,Large,
97,2018-03-25,KLAX,LOS ANGELES INTL,A-321,Turbofan,American kestrel,None,2.0,Day,,,10.0,130.0,0.0,Approach,No Cloud,,1,1,Small,
98,2018-03-24,KSMF,SACRAMENTO INTL,UNKNOWN,,Snow goose,,,,,,,,0.0,,,,,1,Large,
99,2018-03-23,KVNY,VAN NUYS ARPT,UNKNOWN,,Black-bellied plover,,,,,,,,0.0,,,,,1,Small,
100,2018-03-23,KSMF,SACRAMENTO INTL,B-737-900,Turbofan,Bufflehead,None,2.0,Night,,,1000.0,150.0,,Approach,Some Cloud,None,1,1,Medium,Y
101,2018-03-23,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,GULFSTREAM V,Turbofan,White-throated swift,None,2.0,Day,,,,,,Approach,Some Cloud,None,1,1,Small,Y
102,2018-03-23,KSMF,SACRAMENTO INTL,UNKNOWN,,Western meadowlark,,,,,,,,0.0,,,,,1,Small,
103,2018-03-22,KOAK,METRO OAKLAND INTL,UNKNOWN,,Mallard,,,,,,,,0.0,,,,,1,Medium,
104,2018-03-22,KLAX,LOS ANGELES INTL,B-737-900,Turbofan,Western meadowlark,None,2.0,Day,,,,,,Approach,Some Cloud,None,2 to 10,2 to 10,Small,Y
105,2018-03-21,KOAK,METRO OAKLAND INTL,B-737-700,Turbofan,Northern pintail,Uncertain,2.0,Night,,,25.0,125.0,0.0,Approach,Overcast,Rain,2 to 10,1,Medium,N
106,2018-03-21,KVNY,VAN NUYS ARPT,UNKNOWN,,Virginia opossum,,,,,,,,0.0,,,,,1,Large,
107,2018-03-20,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-800,Turbofan,Barn owl,None,2.0,Night,,,100.0,180.0,,Approach,Some Cloud,None,1,1,Small,Y
108,2018-03-20,KLAX,LOS ANGELES INTL,B-737-800,Turbofan,Red-tailed hawk,None,2.0,Day,,,200.0,154.0,,Approach,Some Cloud,None,1,1,Medium,N
109,2018-03-20,KVNY,VAN NUYS ARPT,UNKNOWN,,Yellow-chevroned parakeet,,,Day,,,50.0,120.0,0.0,Climb,Overcast,None,2 to 10,2 to 10,Small,N
110,2018-03-20,KLAX,LOS ANGELES INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Day,,,450.0,135.0,,Approach,Some Cloud,None,1,1,Small,N
111,2018-03-19,KLAX,LOS ANGELES INTL,B-777-200,Turbofan,Snowy egret,None,2.0,Dawn,,,0.0,,0.0,Landing Roll,Some Cloud,None,1,1,Small,
112,2018-03-19,KSAN,SAN DIEGO INTL,GULFAERO IV,Turbofan,Unknown bird,None,2.0,Day,,,500.0,,,Climb,Some Cloud,None,,1,,N
113,2018-03-18,KLGB,LONG BEACH-DAUGH FLD,UNKNOWN,,Horned lark,,,,,,,,0.0,,,,,1,Small,
114,2018-03-18,KLAX,LOS ANGELES INTL,B-737-700,Turbofan,Cliff swallow,None,2.0,Day,,,0.0,120.0,0.0,Landing Roll,Some Cloud,None,1,1,Small,
115,2018-03-17,KVNY,VAN NUYS ARPT,UNKNOWN,,Striped skunk,,,,,,,,0.0,,,,,1,Large,
116,2018-03-17,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,
117,2018-03-17,KVNY,VAN NUYS ARPT,UNKNOWN,,Rock pigeon,,,,,,,,0.0,,,,,1,Small,
118,2018-03-16,KOAK,METRO OAKLAND INTL,UNKNOWN,,Canada goose,,,,,,,,0.0,,,,,1,Large,
119,2018-03-14,KOAK,METRO OAKLAND INTL,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,
120,2018-03-14,KSMF,SACRAMENTO INTL,B-737-800,Turbofan,Savannah sparrow,None,2.0,Night,,,,,,Approach,Overcast,None,,2 to 10,Small,Y
121,2018-03-13,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Peregrine falcon,,,,,,,,0.0,,,,,1,Medium,
122,2018-03-12,KLAX,LOS ANGELES INTL,A-380,Turbofan,Cliff swallow,None,4.0,Day,,,100.0,200.0,0.0,Climb,Overcast,None,1,1,Small,
123,2018-03-12,KSAN,SAN DIEGO INTL,A-321,Turbofan,Unknown bird - large,Uncertain,2.0,Night,,,6000.0,250.0,20.0,Approach,No Cloud,None,,1,Large,N
124,2018-03-11,KLAX,LOS ANGELES INTL,B-777-200,Turbofan,Unknown bird,None,2.0,Day,,,,,,Approach,No Cloud,None,1,1,,
125,2018-03-10,KSBA,SANTA BARBARA MUNICIPAL,UNKNOWN,,Gulls,,,Night,,,,,0.0,,,,,1,Medium,
126,2018-03-09,KSFO,SAN FRANCISCO INTL ARPT,B-737-800,Turbofan,Unknown bird - small,None,2.0,Day,,,100.0,148.0,,Approach,Some Cloud,None,11 to 100,2 to 10,Small,N
127,2018-03-09,KSMF,SACRAMENTO INTL,EMB-170,Turbofan,Western meadowlark,None,2.0,Day,,,0.0,132.0,0.0,Take-off run,Some Cloud,,2 to 10,2 to 10,Small,Y
128,2018-03-05,KSFO,SAN FRANCISCO INTL ARPT,A-320,Turbofan,Western sandpiper,None,2.0,Night,,,200.0,140.0,0.0,,No Cloud,None,1,1,Small,N
129,2018-03-05,KSMF,SACRAMENTO INTL,UNKNOWN,,European starling,,,,,,,,0.0,,,,,1,Small,
130,2018-03-04,KSFO,SAN FRANCISCO INTL ARPT,CL-601/604,Turbofan,Gulls,None,2.0,Day,,,100.0,140.0,,Approach,Some Cloud,None,1,1,Medium,N
131,2018-03-03,KOAK,METRO OAKLAND INTL,B-737-700,Turbofan,Canada goose,Uncertain,2.0,Day,,,0.0,,0.0,Take-off run,Some Cloud,None,2 to 10,1,Large,Y
132,2018-03-03,KPAO,PALO ALTO ARPT OF SANTA CLARA COUNTY,C-172,Reciprocating,Geese,Minor,1.0,Day,,,20.0,74.0,0.0,Climb,Some Cloud,Rain,2 to 10,1,Large,Y
133,2018-03-02,KLAX,LOS ANGELES INTL,B-737-900,Turbofan,Unknown bird - small,None,2.0,Night,,,0.0,,0.0,Landing Roll,Some Cloud,None,1,1,Small,
134,2018-02-28,KOAK,METRO OAKLAND INTL,UNKNOWN,,Herring gull,,,,,,,,0.0,,,,,1,Medium,
135,2018-02-28,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,N
136,2018-02-28,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,1500.0,150.0,2.0,Approach,Some Cloud,Rain,,1,Small,Y
137,2018-02-28,KDLO,DELANO MUNICIPAL ARPT,BE-58 BARON,Reciprocating,Yellow-rumped warbler,None,2.0,,,,100.0,105.0,0.0,Approach,Overcast,None,2 to 10,1,Small,N
138,2018-02-28,KTVL,LAKE TAHOE ARPT,UNKNOWN,,Common merganser,,,,,,,,0.0,,,,,1,Large,
139,2018-02-28,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,California gull,Uncertain,2.0,Day,,,,,,Approach,,,,1,Medium,
140,2018-02-27,KSQL,SAN CARLOS ARPT,PILATUS PC12,Turboprop,Unknown bird - small,None,1.0,Night,,,10.0,85.0,0.0,Approach,No Cloud,None,2 to 10,1,Small,N
141,2018-02-27,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Red-tailed hawk,None,2.0,Day,,,,,,Approach,Some Cloud,None,,1,Medium,Y
142,2018-02-27,KHHR,JACK NORTHROP FIELD/HAWTHORNE MUNI ARPT,UNKNOWN,,Western gull,,,,,,,,0.0,,,,,1,Medium,Y
143,2018-02-26,KLAX,LOS ANGELES INTL,UNKNOWN,,Bonaparte's gull,,,,,,,,0.0,,,,,1,Small,Y
144,2018-02-26,KSCK,STOCKTON METRO,UNKNOWN,,Western meadowlark,,,,,,,,0.0,,,,,2 to 10,Small,
145,2018-02-25,KOAK,METRO OAKLAND INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Dusk,,,0.0,,0.0,Take-off run,No Cloud,None,1,1,Small,Y
146,2018-02-24,KBUR,BOB HOPE ARPT,UNKNOWN,,Red-tailed hawk,,,,,,,,0.0,,,,,1,Medium,N
147,2018-02-24,KSVE,SUSANVILLE MUNICIPAL ARPT,EC135,Turboshaft (helicopter),Unknown bird - small,None,2.0,Night,,,10.0,20.0,0.0,Climb,No Cloud,None,,1,Small,N
148,2018-02-23,KRHV,REID-HILLVIEW ARPT OF SANTA CLARA CNTY,CIRRUS SR 20/22,Reciprocating,Red-tailed hawk,None,1.0,,,,0.0,75.0,0.0,Landing Roll,No Cloud,None,,1,Medium,N
149,2018-02-23,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,Y
150,2018-02-23,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Western meadowlark,None,2.0,Day,,,0.0,100.0,0.0,Landing Roll,No Cloud,None,1,1,Small,N
151,2018-02-22,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,UNKNOWN,,California gull,,,,,,,,0.0,,,,,1,Medium,Y
152,2018-02-22,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,
153,2018-02-22,KSAN,SAN DIEGO INTL,UNKNOWN,,Western gull,,,,,,,,0.0,,,,,1,Medium,N
154,2018-02-21,KCNO,CHINO AIRPORT,PA-28,Reciprocating,Sparrows,None,1.0,Day,,,300.0,,1.0,Approach,Some Cloud,None,1,1,Small,Y
155,2018-02-19,KPAO,PALO ALTO ARPT OF SANTA CLARA COUNTY,C-172,Reciprocating,Canada goose,None,1.0,Day,,,30.0,70.0,0.0,Climb,Some Cloud,None,,1,Large,Y
156,2018-02-19,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Gulls,None,2.0,Day,,,0.0,45.0,0.0,Landing Roll,Some Cloud,None,1,1,Medium,Y
157,2018-02-18,KPSP,PALM SPRINGS INTL,CRJ100/200,Turbofan,Unknown bird - small,None,2.0,Day,,,,,0.5,Approach,No Cloud,None,1,1,Small,N
158,2018-02-15,KSFO,SAN FRANCISCO INTL ARPT,A-321,Turbofan,Unknown bird - small,None,2.0,Day,,,10.0,150.0,0.0,Approach,No Cloud,None,11 to 100,1,Small,N
159,2018-02-14,KSFO,SAN FRANCISCO INTL ARPT,A-321,Turbofan,Unknown bird or bat,None,2.0,,,,100.0,,,Climb,,,,1,,
160,2018-02-12,KOAK,METRO OAKLAND INTL,UNKNOWN,,American pipit,,,,,,,,0.0,,,,,1,Small,Y
161,2018-02-11,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,White-tailed kite,,,,,,,,0.0,,,,,1,Small,
162,2018-02-10,KVCV,SOUTHERN CALIFORNIA LOGISTICS,BE-100 KING,Turboprop,Unknown bird - small,None,2.0,Day,,,3000.0,160.0,,Local,No Cloud,None,,1,Small,N
163,2018-02-09,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,
164,2018-02-09,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Barn owl,,,,,,,,0.0,,,,,1,Small,N
