,INCIDENT_DATE,AIRPORT_ID,AIRPORT,ATYPE,TYPE_ENG,SPECIES,DAMAGE,NUM_ENGS,TIME_OF_DAY,ENROUTE,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED
6083,2011-05-09,KLGB,LONG BEACH-DAUGH FLD,UNKNOWN,,Sparrows,,,,,,,,0.0,,,,,2 to 10,Small,
6084,2011-05-09,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Unknown bird,None,2.0,Day,,,0.0,,0.0,Landing Roll,,,,1,,
6085,2011-05-09,KSMF,SACRAMENTO INTL,A-320,Turbofan,Unknown bird,None,2.0,Day,,,,,,Climb,,,,2 to 10,,
6086,2011-05-07,KOAK,METRO OAKLAND INTL,A-318,Turbofan,Unknown bird - medium,None,2.0,Day,,,100.0,160.0,,Climb,Some Cloud,None,,1,Medium,
6087,2011-05-06,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Unknown bird - small,None,2.0,Dusk,,,450.0,140.0,1.0,Approach,No Cloud,None,1,1,Small,N
6088,2011-05-06,KSMF,SACRAMENTO INTL,B-737-300,Turbofan,Cedar waxwing,None,2.0,Day,,,400.0,,,Approach,No Cloud,None,,2 to 10,Small,Y
6089,2011-05-06,KMHR,SACRAMENTO MATHER ARPT,B-767-300,Turbofan,Killdeer,None,2.0,Day,,,,180.0,,Approach,No Cloud,None,,1,Small,N
6090,2011-05-05,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,A-319,Turbofan,Unknown bird - small,None,2.0,Day,,,9000.0,210.0,20.0,Descent,No Cloud,None,,2 to 10,Small,N
6091,2011-05-05,KSMF,SACRAMENTO INTL,A-320,Turbofan,Unknown bird - small,None,2.0,Night,,,2000.0,180.0,10.0,Approach,No Cloud,None,1,1,Small,Y
6092,2011-05-04,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,1000.0,200.0,2.0,Climb,No Cloud,None,,1,Small,Y
6093,2011-05-04,KSMF,SACRAMENTO INTL,A-320,Turbofan,White-faced ibis,Minor,2.0,Night,,,300.0,150.0,1.0,Approach,No Cloud,None,2 to 10,2 to 10,Medium,Y
6094,2011-05-03,KBUR,BOB HOPE ARPT,A-300,Turbofan,Unknown bird - small,None,2.0,Night,,,,250.0,30.0,Descent,,,2 to 10,1,Small,N
6095,2011-05-03,KOAK,METRO OAKLAND INTL,A-300,Turbofan,Unknown bird - medium,None,2.0,Night,,,6000.0,250.0,20.0,Approach,No Cloud,None,1,1,Medium,
6096,2011-05-03,KLAX,LOS ANGELES INTL,A-330,Turbofan,Warbling vireo,,2.0,Dawn,,,,,,Approach,No Cloud,None,,1,Small,
6097,2011-05-02,KSBA,SANTA BARBARA MUNICIPAL,UNKNOWN,,American wigeon,,,,,,,,0.0,,,,,1,Medium,
6098,2011-05-01,KCRQ,MC CLELLAN-PALOMAR ARPT,C-172,Reciprocating,Unknown bird - small,None,1.0,Day,,,,80.0,,Approach,No Cloud,None,,1,Small,N
6099,2011-05-01,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Orange-crowned warbler,None,2.0,Night,,,6000.0,,27.0,Approach,No Cloud,None,,1,Small,Y
6100,2011-05-01,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Unknown bird - medium,,2.0,Night,,,10000.0,220.0,10.0,Climb,No Cloud,None,,1,Medium,N
6101,2011-05-01,KBUR,BOB HOPE ARPT,CRJ100/200,Turbofan,Pacific-slope flycatcher,None,2.0,,,,,,,Approach,No Cloud,None,,1,Small,
6102,2011-04-30,KSMF,SACRAMENTO INTL,MD-82,Turbofan,Gulls,None,2.0,Day,,,0.0,140.0,0.0,Take-off run,No Cloud,None,2 to 10,1,Medium,Y
6103,2011-04-30,KSFO,SAN FRANCISCO INTL ARPT,B-757-200,Turbofan,Western sandpiper,None,2.0,Day,,,,100.0,0.0,Approach,No Cloud,None,2 to 10,2 to 10,Small,Y
6104,2011-04-30,KSBA,SANTA BARBARA MUNICIPAL,UNKNOWN,,Long-billed curlew,,,,,,,,0.0,,,,,1,Medium,
6105,2011-04-29,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Western sandpiper,None,2.0,Day,,,0.0,,0.0,Landing Roll,No Cloud,None,2 to 10,2 to 10,Small,Y
6106,2011-04-29,KSBA,SANTA BARBARA MUNICIPAL,EMB-190,Turbofan,Unknown bird,,2.0,Day,,,,,,Departure,,,,1,,
6107,2011-04-29,KSBA,SANTA BARBARA MUNICIPAL,EMB-170,Turbofan,Turkey vulture,,2.0,Day,,,0.0,,0.0,Take-off run,No Cloud,None,,1,Large,N
6108,2011-04-28,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Unknown bird - small,None,2.0,Day,,,25.0,147.0,0.0,Approach,No Cloud,None,2 to 10,1,Small,N
6109,2011-04-28,KLAX,LOS ANGELES INTL,EMB-135,Turbofan,Red-tailed hawk,None,2.0,Night,,,100.0,140.0,,Approach,No Cloud,None,1,1,Medium,N
6110,2011-04-28,KLAX,LOS ANGELES INTL,B-767-300,Turbofan,Brewer's blackbird,None,2.0,Night,,,,,,Approach,No Cloud,None,,1,Small,
6111,2011-04-28,KSAN,SAN DIEGO INTL,UNKNOWN,,Western gull,,,,,,,,0.0,,,,,1,Medium,
6112,2011-04-28,KVNY,VAN NUYS ARPT,UNKNOWN,,Mourning dove,,,,,,,,0.0,,,,,1,Small,
6113,2011-04-27,KSFO,SAN FRANCISCO INTL ARPT,B-777-300,Turbofan,Unknown bird - small,,2.0,Day,,,60.0,170.0,0.0,Climb,Some Cloud,None,,1,Small,Y
6114,2011-04-27,KLAX,LOS ANGELES INTL,B-757-200,Turbofan,Western gull,None,2.0,Night,,,,,,Approach,No Cloud,None,,1,Medium,
6115,2011-04-27,KSMF,SACRAMENTO INTL,B-737-300,Turbofan,Rabbits,None,2.0,Night,,,0.0,,0.0,Landing Roll,,,,1,Medium,
6116,2011-04-26,KOAK,METRO OAKLAND INTL,MD-11,Turbofan,Unknown bird - small,None,3.0,Night,,,400.0,,,Approach,No Cloud,None,1,1,Small,
6117,2011-04-26,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Sparrows,None,2.0,Day,,,100.0,120.0,0.0,Approach,No Cloud,None,2 to 10,1,Small,N
